Agent_name,word,frequency
Amy Campbell,time,2
Seth Williamson,grocery,2
Kristin Campbell,end,2
Amy Flores,time,2
Andrea Wilkerson,time,2
Sharon Bullock,kajal,2
Anthony Taylor,time,2
Nathan Nguyen,change,2
Renee Lucas,shows,2
Michelle Whitehead,change,2
Melinda Allen,talking,2
Jason Park,problem,2
Angela Harris,problem,2
Morgan Gomez,improve,2
Joshua Webb,damage,2
Kim Barnes,taken,2
Kathryn Vasquez,taken,2
Ashley Hamilton,damaged,2
Olivia Nguyen,desk,2
Jesse Davis,damaged,2
Michael Miles,damaged,2
Veronica Wallace,description,2
Michael Ruiz,improve,2
Carla Burke,day,2
Kristin Beasley,improve,2
Dawn Brown,date,2
Matthew Miller,sweet,2
Kenneth Ramos,date,2
John Adkins,dents,2
Madison Flores,date,2
Andrea Peterson,day,2
Wendy Taylor,delivery,2
Lisa Lawrence,taken,2
Lauren Simmons,cycle,2
Amy Mendez,details,2
Andrea Beck,details,2
Gregory Jackson,did,2
Daniel Davis,talked,2
Elizabeth Garcia,strict,2
Shannon Hudson,helpful,2
Chad Wells,did,2
Robert Smith,raised,2
David Meza MD,incorrect,2
Curtis Mccarthy,raised,2
Virginia Lane,helpful,2
Claudia Jones,cut,2
Rhonda Sullivan,proper,2
Scott Pierce,details,2
Wendy Taylor,helpful,2
William Hall,helpful,2
Seth Williamson,incompetent,2
Gordon Jones,helpfull,2
Austin Gregory,cx,2
