Topic,Words,Frequency,Class
-1,"replied, efficiently, clear, manner, executive",1,Haley Carroll
0,"god, work, helpful, shopzilla, service",1,Haley Carroll
5,"really, executive, good, customer, care",1,Haley Carroll
36,"talk, nice, thank, comfortable, deal",1,Haley Carroll
1,"good, executive, helpful, polite, nice",1,Kenneth Howell
0,"lingers, assurances, exasperating, unfortunate, sorted",2,Anthony Moss
11,"happy, care, customer, satisfied, service",1,Anthony Moss
0,"policies, worst, shopzilla, good, executive",1,Evelyn Stevens
-1,"fools, hiring, wasting, authority, information",1,Jennifer Day
0,"moto, timebecause, return, edge, 40",1,Jennifer Day
4,"care, good, service, customer, experience",1,Jennifer Day
1,"sweet, helpful, executive, polite, good",1,Charlotte Thomas
36,"love, talk, nice, comfortable, deal",1,Charlotte Thomas
38,"verry, exicutive, person, good, plzthis",1,Charlotte Thomas
-1,"knowledgeable, overall, person, talk, talking",1,Brenda Cox
0,"95, resolve, thanks, problem, shopzilla",1,Brenda Cox
12,"helpful, service, customer, nice, good",1,Brenda Cox
-1,"sweet, nd, helpful, person, talk",1,Levi Bridges
0,"loop, shipment, automated, reply, logistics",1,Sheri Hood
14,"gujarati, add, perfect, language, talk",1,Sheri Hood
30,"persondoesnu2019t, faltu, solve, problem, mr",1,Sheri Hood
0,"shivani, communicate, satisfied, really, happy",1,Glenda Powell
5,"support, executive, good, customer, care",1,Jason Osborn
9,"brilliant, hope, resolved, really, problem",1,Jason Osborn
-1,"easy, talk, support, customer, talking",1,Daniel Murphy
0,"govt, startup, loopholes, sandeep, dark",2,Daniel Murphy
9,"stars, 10, sir, solved, problem",1,Daniel Murphy
-1,"waiting, connect, hold, dont, agent",1,Ariana Chavez
0,"nicely, remove, thanks, helping, problems",1,Ariana Chavez
31,"thkue, toke, query, resolve, support",1,Ariana Chavez
41,"support, nice, executive, great, executiveproblem",1,Ariana Chavez
55,"behaviour, helpful, executive, osm, customer",1,Ariana Chavez
-1,"ankit, man, sir, help, care",1,Shari Martinez
0,"issuecustomer, respect, ownership, taking, solve",2,Shari Martinez
16,"cm, thnx, talk, nice, care",1,Shari Martinez
31,"exclusive, fast, query, guys, understand",1,Shari Martinez
-1,"unsupport, care, customer, talk, talking",1,Judith Wyatt
0,"supportable, informing, guy, cancel, delivery",1,Judith Wyatt
1,"cardboard, passed, shit, okay, month",1,Judith Wyatt
22,"regarding, resolution, able, provide, polite",1,Judith Wyatt
8,"contact, seller, care, customer, easy",1,Mark Garcia
-1,"cares, ai, idea, far, better",1,Lisa Padilla
1,"effort, nice, executive, helpful, polite",1,Tammy Clark
-1,"vary, satisfaction, skill, easily, interaction",3,William Morris
3,"worst, agent, agents, knowledgeable, resolution",1,William Morris
12,"nice, service, customer, good, helpful",1,William Morris
25,"service, good, customer, hole, job",1,Danielle Williams
-1,"suppotive, behaviour, way, like, talk",1,Bonnie Durham
0,"reputation, job, think, company, talk",1,Bonnie Durham
18,"person, good, excellent, attend, best",1,Bonnie Durham
19,"interaction, satisfied, problem, care, customer",1,Bonnie Durham
0,"hardly, delivered, 14, area, products",1,Katrina Summers
1,"issues, solved, executive, service, good",1,Katrina Summers
11,"happy, service, customer, satisfied, unhappy",1,Kathleen Mcgee
0,"5th, later, pay, unable, working",1,Virginia Caldwell
5,"work, executive, customer, care, helpful",1,Virginia Caldwell
0,"default, faulty, suffer, tired, pathetic",1,Luis Bell
37,"way, talking, good, style, language",1,Luis Bell
-1,"skill, communication, excellent, executive, customer",1,Brandon Martin
1,"calling, giving, excellent, information, thanks",2,Brandon Martin
28,"baar, hi, ka, hai, kiya",1,Brandon Martin
7,"person, good, muchh, thise, toking",1,Jerry Duffy
-1,"coustomer, helpful, polite, agent, service",1,Janet Maxwell
0,"negative, feedback, seller, shopzilla, product",1,James Jordan
48,"say, becouse, promote, miss, thanks",1,Kelly Carpenter
0,"offers, availability, try, better, provide",1,John Mccall
5,"wm, good, executive, care, customer",1,John Mccall
6,"support, care, good, customer, supportive",1,John Mccall
22,"satisfied, polite, thank, issue, support",1,John Mccall
0,"shopzillaplease, earliest, pickup, cancelled, completed",1,Lynn Gross
6,"effective, support, care, customer, supportive",1,Lynn Gross
-1,"awesome, person, talk, talking, customer",1,Eric Dunn MD
0,"response, nice, person, shopzilla, product",1,Eric Dunn MD
3,"understanding, concern, agent, support, agents",1,Eric Dunn MD
5,"brilliant, person, executive, care, customer",1,Eric Dunn MD
0,"ove, used, overall, app, worst",1,Bonnie Jimenez
27,"talking, nice, costomer, easily, supporting",1,Bonnie Jimenez
0,"choice, seller, policy, understand, excellent",2,Donald Jordan
